id_utility,family_room,private_beach,car_park,pool,free_airport_transportation,children_amusement_park,package_service
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1
3,0,0,0,0,0,1,0
4,0,0,0,0,0,1,1
5,0,0,0,0,1,0,0
6,0,0,0,0,1,0,1
7,0,0,0,0,1,1,0
8,0,0,0,0,1,1,1
9,0,0,0,1,0,0,0
10,0,0,0,1,0,0,1
11,0,0,0,1,0,1,0
12,0,0,0,1,0,1,1
13,0,0,0,1,1,0,0
14,0,0,0,1,1,0,1
15,0,0,0,1,1,1,0
16,0,0,0,1,1,1,1
17,0,0,1,0,0,0,0
18,0,0,1,0,0,0,1
19,0,0,1,0,0,1,0
20,0,0,1,0,0,1,1
21,0,0,1,0,1,0,0
22,0,0,1,0,1,0,1
23,0,0,1,0,1,1,0
24,0,0,1,0,1,1,1
25,0,0,1,1,0,0,0
26,0,0,1,1,0,0,1
27,0,0,1,1,0,1,0
28,0,0,1,1,0,1,1
29,0,0,1,1,1,0,0
30,0,0,1,1,1,0,1
31,0,0,1,1,1,1,0
32,0,0,1,1,1,1,1
33,0,1,0,0,0,0,0
34,0,1,0,0,0,0,1
35,0,1,0,0,0,1,0
36,0,1,0,0,0,1,1
37,0,1,0,0,1,0,0
38,0,1,0,0,1,0,1
39,0,1,0,0,1,1,0
40,0,1,0,0,1,1,1
41,0,1,0,1,0,0,0
42,0,1,0,1,0,0,1
43,0,1,0,1,0,1,0
44,0,1,0,1,0,1,1
45,0,1,0,1,1,0,0
46,0,1,0,1,1,0,1
47,0,1,0,1,1,1,0
48,0,1,0,1,1,1,1
49,0,1,1,0,0,0,0
50,0,1,1,0,0,0,1
51,0,1,1,0,0,1,0
52,0,1,1,0,0,1,1
53,0,1,1,0,1,0,0
54,0,1,1,0,1,0,1
55,0,1,1,0,1,1,0
56,0,1,1,0,1,1,1
57,0,1,1,1,0,0,0
58,0,1,1,1,0,0,1
59,0,1,1,1,0,1,0
60,0,1,1,1,0,1,1
61,0,1,1,1,1,0,0
62,0,1,1,1,1,0,1
63,0,1,1,1,1,1,0
64,0,1,1,1,1,1,1
65,1,0,0,0,0,0,0
66,1,0,0,0,0,0,1
67,1,0,0,0,0,1,0
68,1,0,0,0,0,1,1
69,1,0,0,0,1,0,0
70,1,0,0,0,1,0,1
71,1,0,0,0,1,1,0
72,1,0,0,0,1,1,1
73,1,0,0,1,0,0,0
74,1,0,0,1,0,0,1
75,1,0,0,1,0,1,0
76,1,0,0,1,0,1,1
77,1,0,0,1,1,0,0
78,1,0,0,1,1,0,1
79,1,0,0,1,1,1,0
80,1,0,0,1,1,1,1
81,1,0,1,0,0,0,0
82,1,0,1,0,0,0,1
83,1,0,1,0,0,1,0
84,1,0,1,0,0,1,1
85,1,0,1,0,1,0,0
86,1,0,1,0,1,0,1
87,1,0,1,0,1,1,0
88,1,0,1,0,1,1,1
89,1,0,1,1,0,0,0
90,1,0,1,1,0,0,1
91,1,0,1,1,0,1,0
92,1,0,1,1,0,1,1
93,1,0,1,1,1,0,0
94,1,0,1,1,1,0,1
95,1,0,1,1,1,1,0
96,1,0,1,1,1,1,1
97,1,1,0,0,0,0,0
98,1,1,0,0,0,0,1
99,1,1,0,0,0,1,0
100,1,1,0,0,0,1,1
101,1,1,0,0,1,0,0
102,1,1,0,0,1,0,1
103,1,1,0,0,1,1,0
104,1,1,0,0,1,1,1
105,1,1,0,1,0,0,0
106,1,1,0,1,0,0,1
107,1,1,0,1,0,1,0
108,1,1,0,1,0,1,1
109,1,1,0,1,1,0,0
110,1,1,0,1,1,0,1
111,1,1,0,1,1,1,0
112,1,1,0,1,1,1,1
113,1,1,1,0,0,0,0
114,1,1,1,0,0,0,1
115,1,1,1,0,0,1,0
116,1,1,1,0,0,1,1
117,1,1,1,0,1,0,0
118,1,1,1,0,1,0,1
119,1,1,1,0,1,1,0
120,1,1,1,0,1,1,1
121,1,1,1,1,0,0,0
122,1,1,1,1,0,0,1
123,1,1,1,1,0,1,0
124,1,1,1,1,0,1,1
125,1,1,1,1,1,0,0
126,1,1,1,1,1,0,1
127,1,1,1,1,1,1,0
128,1,1,1,1,1,1,1
